"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Genetta servalina" 1 2 454 1.41991643932877 0.155632009369215 0.026431718061674
"Genetta servalina" 1 3 454 1.4338696197066 0.151609472928363 0.0616740088105727
"Genetta servalina" 1 4 452 1.4586352582889 0.144665523903323 0.0707964601769911
"Genetta servalina" 1 5 450 1.10416059082985 0.269523481490676 0.1
"Genetta servalina" 1 6 449 1.81660847713227 0.0692770845048759 0.115812917594655
"Genetta servalina" 1 7 447 1.39072165868457 0.164309847216463 0.123042505592841
"Genetta servalina" 1 8 447 1.42979769496524 0.152775090858821 0.136465324384787
"Genetta servalina" 1 9 447 1.42482567646951 0.154207598187008 0.145413870246085
"Genetta servalina" 1 10 445 0.834340108558144 0.404089356293762 0.166292134831461
"Genetta servalina" 1 11 440 0.475037259827689 0.634760416025654 0.177272727272727
"Genetta servalina" 1 12 439 0.7156238160656 0.474223663752053 0.189066059225513
"Genetta servalina" 1 13 438 0.655463676752693 0.512169265406734 0.19634703196347
"Genetta servalina" 1 14 436 0.468104457532082 0.639709891745541 0.211009174311927
"Genetta servalina" 1 15 436 0.446718303748265 0.655078464364685 0.224770642201835
"Genetta servalina" 1 16 435 0.478198141112136 0.632509185458099 0.23448275862069
"Genetta servalina" 1 17 435 0.468752816698563 0.639246329462389 0.24367816091954
"Genetta servalina" 1 18 434 0.597892572680844 0.549911616057265 0.255760368663594
"Genetta servalina" 1 19 432 0.691553845384312 0.489217555027164 0.263888888888889
"Genetta servalina" 1 20 430 0.786007171866664 0.431863285502707 0.276744186046512
"Genetta servalina" 1 21 429 0.866932909658669 0.385978770541391 0.284382284382284
"Genetta servalina" 1 22 427 0.607041033337451 0.543823681126606 0.295081967213115
"Genetta servalina" 1 23 426 0.350371673154656 0.726059782270029 0.2981220657277
"Genetta servalina" 1 24 425 0.239691921363662 0.810569098226781 0.305882352941176
"Genetta servalina" 1 25 423 -0.0625566387577541 0.95011955900891 0.314420803782506
"Genetta servalina" 1 26 422 0.166706628279602 0.867600889911621 0.322274881516588
"Genetta servalina" 1 27 422 0.307537500226063 0.758434284022998 0.327014218009479
"Genetta servalina" 1 28 422 0.206465785499663 0.836427088168038 0.33175355450237
"Genetta servalina" 1 29 422 0.0911567373088952 0.927368050400654 0.348341232227488
"Genetta servalina" 1 30 420 -0.446804946036973 0.655015899822991 0.352380952380952
"Genetta servalina" 1 31 419 -0.383263125256789 0.701524677405779 0.353221957040573
"Genetta servalina" 1 32 419 -0.428980933185912 0.667937100423925 0.362768496420048
"Genetta servalina" 1 33 415 -0.501930670808241 0.615716289746824 0.36144578313253
"Genetta servalina" 1 34 415 -0.693452543746587 0.488025597649686 0.366265060240964
"Genetta servalina" 1 35 413 -0.768231427494353 0.44234970545192 0.368038740920097
"Genetta servalina" 1 36 412 -0.827947754448879 0.407700088609174 0.37621359223301
"Genetta servalina" 1 37 410 -0.876523131610862 0.380745706899 0.378048780487805
"Genetta servalina" 1 38 410 -0.875241131800758 0.381442717323191 0.378048780487805
"Genetta servalina" 1 39 409 -1.12231098272076 0.261730238105373 0.383863080684597
"Genetta servalina" 1 40 408 -1.03314998954642 0.301533712418387 0.397058823529412
"Genetta servalina" 1 41 407 -0.87466656401946 0.381755358020607 0.4004914004914
"Genetta servalina" 1 42 407 -0.889128823950659 0.373933849573163 0.415233415233415
"Genetta servalina" 1 43 405 -1.03391669630617 0.30117510886479 0.424691358024691
"Genetta servalina" 1 44 403 -1.19159637285482 0.23341954792428 0.429280397022333
"Genetta servalina" 1 45 402 -1.20216414684914 0.229299937247827 0.435323383084577
"Genetta servalina" 1 46 401 -1.08132406410622 0.279552986708673 0.44139650872818
"Genetta servalina" 1 47 398 -1.18154696845981 0.237385506430794 0.444723618090452
"Genetta servalina" 1 48 397 -1.04366441397678 0.296640679600794 0.45088161209068
"Genetta servalina" 1 49 395 -1.12748576641333 0.259537155126762 0.450632911392405
"Genetta servalina" 1 50 391 -0.962148127002944 0.335975201741599 0.455242966751918
"Genetta servalina" 1 51 388 -0.997164814407728 0.318684516711916 0.469072164948454
"Genetta servalina" 1 52 386 -1.11899361660921 0.263142862298451 0.468911917098446
"Genetta servalina" 1 53 382 -1.3995533918254 0.161647099302299 0.471204188481675
"Genetta servalina" 1 54 381 -1.51646486815928 0.129401847263768 0.469816272965879
"Genetta servalina" 1 55 376 -1.53623151865413 0.124481608343796 0.476063829787234
"Genetta servalina" 1 56 373 -1.43608645362133 0.150977742242242 0.479892761394102
"Genetta servalina" 1 57 370 -1.56551421235273 0.117462387579172 0.483783783783784
"Genetta servalina" 1 58 366 -1.77382731376878 0.0760917186782596 0.486338797814208
"Genetta servalina" 1 59 364 -1.79918140283897 0.0719899902373738 0.489010989010989
"Genetta servalina" 1 60 361 -1.97400347662041 0.0483813476296997 0.49584487534626
"Genetta servalina" 1 61 356 -1.94145764035716 0.0522027926532796 0.497191011235955
"Genetta servalina" 1 62 351 -2.03839477981397 0.0415104679372845 0.498575498575499
"Genetta servalina" 1 63 349 -2.08334982497833 0.0372193482161729 0.498567335243553
"Genetta servalina" 1 64 341 -1.71794899244395 0.085805919460251 0.510263929618768
"Genetta servalina" 1 65 327 -0.857125499536043 0.391375530025294 0.529051987767584
"Genetta servalina" 1 66 320 -0.543234619631078 0.586968273213878 0.5375
"Genetta servalina" 1 67 304 0.0163765854712644 0.986933959332218 0.546052631578947
"Genetta servalina" 1 68 296 -0.356221631818632 0.721674593243962 0.560810810810811
"Genetta servalina" 1 69 283 -1.13468540755933 0.256507153573651 0.561837455830389
"Genetta servalina" 1 70 272 -0.936767358468818 0.348878239162877 0.577205882352941
"Genetta servalina" 1 71 268 -0.813615496545687 0.415865257494314 0.58955223880597
"Genetta servalina" 1 72 249 -0.929664670768071 0.352544731992172 0.570281124497992
"Genetta servalina" 1 73 231 NA NA 0.562770562770563
"Genetta servalina" 1 74 225 NA NA 0.555555555555556
"Genetta servalina" 1 75 218 NA NA 0.55045871559633
"Genetta servalina" 1 76 216 NA NA 0.550925925925926
"Genetta servalina" 1 77 211 NA NA 0.554502369668246
"Genetta servalina" 1 78 209 NA NA 0.564593301435407
"Genetta servalina" 1 79 195 NA NA 0.569230769230769
"Genetta servalina" 1 80 180 NA NA 0.572222222222222
"Genetta servalina" 1 81 176 NA NA 0.568181818181818
"Genetta servalina" 1 82 170 NA NA 0.564705882352941
"Genetta servalina" 1 83 166 NA NA 0.572289156626506
"Genetta servalina" 1 84 166 NA NA 0.578313253012048
"Genetta servalina" 1 85 166 NA NA 0.578313253012048
"Genetta servalina" 1 86 165 NA NA 0.581818181818182
"Genetta servalina" 1 87 163 NA NA 0.576687116564417
"Genetta servalina" 1 88 158 NA NA 0.569620253164557
"Genetta servalina" 1 89 153 NA NA 0.57516339869281
"Genetta servalina" 1 90 151 NA NA 0.576158940397351
"Genetta servalina" 1 91 150 NA NA 0.586666666666667
"Genetta servalina" 1 92 146 NA NA 0.595890410958904
"Genetta servalina" 1 93 142 NA NA 0.598591549295775
"Genetta servalina" 1 94 142 NA NA 0.605633802816901
"Genetta servalina" 1 95 127 NA NA 0.622047244094488
"Genetta servalina" 1 96 105 NA NA 0.619047619047619
"Genetta servalina" 1 97 89 NA NA 0.617977528089888
"Genetta servalina" 1 98 75 NA NA 0.653333333333333
"Genetta servalina" 1 99 75 NA NA 0.653333333333333
"Genetta servalina" 1 100 75 NA NA 0.653333333333333
"Genetta servalina" 1 101 75 NA NA 0.653333333333333
"Genetta servalina" 1 102 75 NA NA 0.653333333333333
"Genetta servalina" 1 103 75 NA NA 0.653333333333333
"Genetta servalina" 1 104 75 NA NA 0.653333333333333
"Genetta servalina" 1 105 73 NA NA 0.643835616438356
"Genetta servalina" 1 106 61 NA NA 0.60655737704918
"Genetta servalina" 1 107 56 NA NA 0.625
"Genetta servalina" 1 108 49 NA NA 0.653061224489796
"Genetta servalina" 1 109 48 NA NA 0.666666666666667
"Genetta servalina" 1 110 47 NA NA 0.659574468085106
"Genetta servalina" 1 111 45 NA NA 0.644444444444444
"Genetta servalina" 1 112 45 NA NA 0.644444444444444
"Genetta servalina" 1 113 45 NA NA 0.644444444444444
"Genetta servalina" 1 114 45 NA NA 0.644444444444444
"Genetta servalina" 1 115 44 NA NA 0.636363636363636
"Genetta servalina" 1 116 44 NA NA 0.636363636363636
"Genetta servalina" 1 117 43 NA NA 0.627906976744186
"Genetta servalina" 1 118 43 NA NA 0.627906976744186
"Genetta servalina" 1 119 43 NA NA 0.627906976744186
"Genetta servalina" 1 120 43 NA NA 0.627906976744186
"Genetta servalina" 1 121 43 NA NA 0.627906976744186
"Genetta servalina" 1 122 43 NA NA 0.627906976744186
"Genetta servalina" 1 123 43 NA NA 0.627906976744186
"Genetta servalina" 1 124 43 NA NA 0.627906976744186
"Genetta servalina" 1 125 43 NA NA 0.627906976744186
"Genetta servalina" 1 126 43 NA NA 0.627906976744186
"Genetta servalina" 1 127 43 NA NA 0.627906976744186
"Genetta servalina" 1 128 42 NA NA 0.619047619047619
"Genetta servalina" 1 129 42 NA NA 0.619047619047619
"Genetta servalina" 1 130 41 NA NA 0.634146341463415
"Genetta servalina" 1 131 41 NA NA 0.634146341463415
"Genetta servalina" 1 132 41 NA NA 0.634146341463415
"Genetta servalina" 1 133 41 NA NA 0.634146341463415
"Genetta servalina" 1 134 41 NA NA 0.634146341463415
"Genetta servalina" 1 135 41 NA NA 0.634146341463415
"Genetta servalina" 1 136 41 NA NA 0.634146341463415
"Genetta servalina" 1 137 41 NA NA 0.634146341463415
"Genetta servalina" 1 138 41 NA NA 0.634146341463415
"Genetta servalina" 1 139 40 NA NA 0.625
"Genetta servalina" 1 140 40 NA NA 0.625
"Genetta servalina" 1 141 40 NA NA 0.625
"Genetta servalina" 1 142 40 NA NA 0.625
"Genetta servalina" 1 143 40 NA NA 0.625
"Genetta servalina" 1 144 40 NA NA 0.625
"Genetta servalina" 1 145 40 NA NA 0.625
"Genetta servalina" 1 146 40 NA NA 0.625
"Genetta servalina" 1 147 40 NA NA 0.625
"Genetta servalina" 1 148 40 NA NA 0.625
"Genetta servalina" 1 149 40 NA NA 0.625
"Genetta servalina" 1 150 40 NA NA 0.625
"Genetta servalina" 1 151 40 NA NA 0.625
"Genetta servalina" 1 152 40 NA NA 0.625
"Genetta servalina" 1 153 40 NA NA 0.625
"Genetta servalina" 1 154 39 NA NA 0.615384615384615
"Genetta servalina" 1 155 39 NA NA 0.615384615384615
"Genetta servalina" 1 156 39 NA NA 0.615384615384615
"Genetta servalina" 1 157 39 NA NA 0.615384615384615
"Genetta servalina" 1 158 39 NA NA 0.615384615384615
"Genetta servalina" 1 159 39 NA NA 0.615384615384615
"Genetta servalina" 1 160 39 NA NA 0.615384615384615
"Genetta servalina" 1 161 39 NA NA 0.615384615384615
"Genetta servalina" 1 162 39 NA NA 0.615384615384615
"Genetta servalina" 1 163 39 NA NA 0.615384615384615
"Genetta servalina" 1 164 39 NA NA 0.615384615384615
"Genetta servalina" 1 165 39 NA NA 0.615384615384615
"Genetta servalina" 1 166 39 NA NA 0.615384615384615
"Genetta servalina" 1 167 39 NA NA 0.615384615384615
"Genetta servalina" 1 168 39 NA NA 0.615384615384615
"Genetta servalina" 1 169 39 NA NA 0.615384615384615
"Genetta servalina" 1 170 39 NA NA 0.615384615384615
"Genetta servalina" 1 171 39 NA NA 0.615384615384615
"Genetta servalina" 1 172 39 NA NA 0.615384615384615
"Genetta servalina" 1 173 38 NA NA 0.605263157894737
"Genetta servalina" 1 174 38 NA NA 0.605263157894737
"Genetta servalina" 1 175 37 NA NA 0.621621621621622
"Genetta servalina" 1 176 37 NA NA 0.621621621621622
"Genetta servalina" 1 177 37 NA NA 0.648648648648649
"Genetta servalina" 1 178 37 NA NA 0.648648648648649
"Genetta servalina" 1 179 37 NA NA 0.648648648648649
"Genetta servalina" 1 180 37 NA NA 0.648648648648649
"Genetta servalina" 1 181 37 NA NA 0.648648648648649
"Genetta servalina" 1 182 37 NA NA 0.648648648648649
"Genetta servalina" 1 183 37 NA NA 0.648648648648649
"Genetta servalina" 1 184 36 NA NA 0.638888888888889
"Genetta servalina" 1 185 35 NA NA 0.657142857142857
"Genetta servalina" 1 186 35 NA NA 0.657142857142857
"Genetta servalina" 1 187 34 NA NA 0.647058823529412
"Genetta servalina" 1 188 34 NA NA 0.647058823529412
"Genetta servalina" 1 189 34 NA NA 0.647058823529412
"Genetta servalina" 1 190 34 NA NA 0.647058823529412
"Genetta servalina" 1 191 33 NA NA 0.636363636363636
"Genetta servalina" 1 192 33 NA NA 0.636363636363636
"Genetta servalina" 1 193 33 NA NA 0.636363636363636
"Genetta servalina" 1 194 33 NA NA 0.636363636363636
"Genetta servalina" 1 195 33 NA NA 0.636363636363636
"Genetta servalina" 1 196 33 NA NA 0.636363636363636
"Genetta servalina" 1 197 33 NA NA 0.636363636363636
"Genetta servalina" 1 198 33 NA NA 0.636363636363636
"Genetta servalina" 1 199 33 NA NA 0.636363636363636
"Genetta servalina" 1 200 33 NA NA 0.636363636363636
"Genetta servalina" 2 4 452 1.37963069673452 0.167700381017184 0.0707964601769911
"Genetta servalina" 2 6 449 1.74197147873525 0.0815134350871353 0.115812917594655
"Genetta servalina" 2 8 447 1.3504887462019 0.176859261105647 0.136465324384787
"Genetta servalina" 2 10 445 0.709965125773759 0.477725762672755 0.166292134831461
"Genetta servalina" 2 12 439 0.546056768923503 0.58502691526301 0.189066059225513
"Genetta servalina" 2 14 436 0.313044101253716 0.754247156788838 0.211009174311927
"Genetta servalina" 2 16 435 0.289456923681095 0.772231739510031 0.23448275862069
"Genetta servalina" 2 18 434 0.375510794572226 0.70728061992446 0.255760368663594
"Genetta servalina" 2 20 430 0.55521026929169 0.578750845575655 0.276744186046512
"Genetta servalina" 2 22 427 0.377056796263533 0.706131397157949 0.295081967213115
"Genetta servalina" 2 24 425 0.0168985700703866 0.986517533523522 0.305882352941176
"Genetta servalina" 2 26 422 -0.0351939406536217 0.971925093897692 0.322274881516588
"Genetta servalina" 2 28 422 6.45326226315905e-05 0.99994851041677 0.33175355450237
"Genetta servalina" 2 30 420 -0.619678639792455 0.535469381264911 0.352380952380952
"Genetta servalina" 2 32 419 -0.591897058547284 0.553919523634832 0.362768496420048
"Genetta servalina" 2 34 415 -0.848413346178997 0.396207812551815 0.366265060240964
"Genetta servalina" 2 36 412 -1.00257465248599 0.316066130790413 0.37621359223301
"Genetta servalina" 2 38 410 -1.04683789120068 0.295174351180737 0.378048780487805
"Genetta servalina" 2 40 408 -1.22365050670778 0.221084097834968 0.397058823529412
"Genetta servalina" 2 42 407 -1.04751639686326 0.294861473759408 0.415233415233415
"Genetta servalina" 2 44 403 -1.3506838953371 0.176796713309307 0.429280397022333
"Genetta servalina" 2 46 401 -1.26223998343719 0.206862445329888 0.44139650872818
"Genetta servalina" 2 48 397 -1.22032512368983 0.222341649396326 0.45088161209068
"Genetta servalina" 2 50 391 -1.14126612863074 0.253759192854543 0.455242966751918
"Genetta servalina" 2 52 386 -1.2893599343432 0.197272983529555 0.468911917098446
"Genetta servalina" 2 54 381 -1.66726305669931 0.0954621091552466 0.469816272965879
"Genetta servalina" 2 56 373 -1.56338356268102 0.117962404021592 0.479892761394102
"Genetta servalina" 2 58 366 -1.91046983123365 0.0560727471814046 0.486338797814208
"Genetta servalina" 2 60 361 -2.11058280029163 0.0348081873234158 0.49584487534626
"Genetta servalina" 2 62 351 -2.18104833355433 0.0291798417100383 0.498575498575499
"Genetta servalina" 2 64 341 -1.86015772933522 0.0628632135642589 0.510263929618768
"Genetta servalina" 2 66 320 -0.705412108738675 0.480553810682744 0.5375
"Genetta servalina" 2 68 296 -0.423803170843974 0.671709365454838 0.560810810810811
"Genetta servalina" 2 70 272 -0.895285945109931 0.370634251580328 0.577205882352941
"Genetta servalina" 2 72 249 -0.884891786332292 0.376214998422383 0.570281124497992
"Genetta servalina" 2 74 225 NA NA 0.555555555555556
"Genetta servalina" 2 76 216 NA NA 0.550925925925926
"Genetta servalina" 2 78 209 NA NA 0.564593301435407
"Genetta servalina" 2 80 180 NA NA 0.572222222222222
"Genetta servalina" 2 82 170 NA NA 0.564705882352941
"Genetta servalina" 2 84 166 NA NA 0.578313253012048
"Genetta servalina" 2 86 165 NA NA 0.581818181818182
"Genetta servalina" 2 88 158 NA NA 0.569620253164557
"Genetta servalina" 2 90 151 NA NA 0.576158940397351
"Genetta servalina" 2 92 146 NA NA 0.595890410958904
"Genetta servalina" 2 94 142 NA NA 0.605633802816901
"Genetta servalina" 2 96 105 NA NA 0.619047619047619
"Genetta servalina" 2 98 75 NA NA 0.653333333333333
"Genetta servalina" 2 100 75 NA NA 0.653333333333333
"Genetta servalina" 2 102 75 NA NA 0.653333333333333
"Genetta servalina" 2 104 75 NA NA 0.653333333333333
"Genetta servalina" 2 106 61 NA NA 0.60655737704918
"Genetta servalina" 2 108 49 NA NA 0.653061224489796
"Genetta servalina" 2 110 47 NA NA 0.659574468085106
"Genetta servalina" 2 112 45 NA NA 0.644444444444444
"Genetta servalina" 2 114 45 NA NA 0.644444444444444
"Genetta servalina" 2 116 44 NA NA 0.636363636363636
"Genetta servalina" 2 118 43 NA NA 0.627906976744186
"Genetta servalina" 2 120 43 NA NA 0.627906976744186
"Genetta servalina" 2 122 43 NA NA 0.627906976744186
"Genetta servalina" 2 124 43 NA NA 0.627906976744186
"Genetta servalina" 2 126 43 NA NA 0.627906976744186
"Genetta servalina" 2 128 42 NA NA 0.619047619047619
"Genetta servalina" 2 130 41 NA NA 0.634146341463415
"Genetta servalina" 2 132 41 NA NA 0.634146341463415
"Genetta servalina" 2 134 41 NA NA 0.634146341463415
"Genetta servalina" 2 136 41 NA NA 0.634146341463415
"Genetta servalina" 2 138 41 NA NA 0.634146341463415
"Genetta servalina" 2 140 40 NA NA 0.625
"Genetta servalina" 2 142 40 NA NA 0.625
"Genetta servalina" 2 144 40 NA NA 0.625
"Genetta servalina" 2 146 40 NA NA 0.625
"Genetta servalina" 2 148 40 NA NA 0.625
"Genetta servalina" 2 150 40 NA NA 0.625
"Genetta servalina" 2 152 40 NA NA 0.625
"Genetta servalina" 2 154 39 NA NA 0.615384615384615
"Genetta servalina" 2 156 39 NA NA 0.615384615384615
"Genetta servalina" 2 158 39 NA NA 0.615384615384615
"Genetta servalina" 2 160 39 NA NA 0.615384615384615
"Genetta servalina" 2 162 39 NA NA 0.615384615384615
"Genetta servalina" 2 164 39 NA NA 0.615384615384615
"Genetta servalina" 2 166 39 NA NA 0.615384615384615
"Genetta servalina" 2 168 39 NA NA 0.615384615384615
"Genetta servalina" 2 170 39 NA NA 0.615384615384615
"Genetta servalina" 2 172 39 NA NA 0.615384615384615
"Genetta servalina" 2 174 38 NA NA 0.605263157894737
"Genetta servalina" 2 176 37 NA NA 0.621621621621622
"Genetta servalina" 2 178 37 NA NA 0.648648648648649
"Genetta servalina" 2 180 37 NA NA 0.648648648648649
"Genetta servalina" 2 182 37 NA NA 0.648648648648649
"Genetta servalina" 2 184 36 NA NA 0.638888888888889
"Genetta servalina" 2 186 35 NA NA 0.657142857142857
"Genetta servalina" 2 188 34 NA NA 0.647058823529412
"Genetta servalina" 2 190 34 NA NA 0.647058823529412
"Genetta servalina" 2 192 33 NA NA 0.636363636363636
"Genetta servalina" 2 194 33 NA NA 0.636363636363636
"Genetta servalina" 2 196 33 NA NA 0.636363636363636
"Genetta servalina" 2 198 33 NA NA 0.636363636363636
"Genetta servalina" 2 200 33 NA NA 0.636363636363636
"Genetta servalina" 3 6 449 1.65456768351606 0.0980122233358206 0.115812917594655
"Genetta servalina" 3 9 447 1.2968385979419 0.194686727011507 0.145413870246085
"Genetta servalina" 3 12 439 0.437675153602087 0.661621783265775 0.189066059225513
"Genetta servalina" 3 15 436 0.210580591327948 0.833214558584099 0.224770642201835
"Genetta servalina" 3 18 434 0.282361802379044 0.777666101076782 0.255760368663594
"Genetta servalina" 3 21 429 0.503889165839833 0.61433926433748 0.284382284382284
"Genetta servalina" 3 24 425 -0.0911665856265534 0.927360225163309 0.305882352941176
"Genetta servalina" 3 27 422 -0.0277899640031355 0.977829670438129 0.327014218009479
"Genetta servalina" 3 30 420 -0.714912052222317 0.474663389267557 0.352380952380952
"Genetta servalina" 3 33 415 -0.718353977759765 0.472539055924598 0.36144578313253
