"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Atherurus africanus" 1 2 454 -2.06252896009496 0.0391574033085989 0.0903083700440529
"Atherurus africanus" 1 3 454 -2.05338280892954 0.0400354652542968 0.145374449339207
"Atherurus africanus" 1 4 452 -1.64713361077234 0.0995305859819515 0.194690265486726
"Atherurus africanus" 1 5 450 -0.833069667446788 0.404805439347899 0.253333333333333
"Atherurus africanus" 1 6 449 -0.830849599736762 0.406058598724209 0.273942093541203
"Atherurus africanus" 1 7 447 -0.902712180794218 0.36667866999131 0.288590604026846
"Atherurus africanus" 1 8 447 -0.718204011808735 0.472631504686431 0.322147651006711
"Atherurus africanus" 1 9 447 -0.827690208966195 0.407845965470395 0.342281879194631
"Atherurus africanus" 1 10 445 -0.960136564455623 0.336986488094191 0.375280898876404
"Atherurus africanus" 1 11 440 -1.19223398262632 0.233169512098227 0.384090909090909
"Atherurus africanus" 1 12 439 -0.960201797360966 0.336953662443463 0.403189066059225
"Atherurus africanus" 1 13 438 -1.06526441970293 0.286756289068401 0.429223744292237
"Atherurus africanus" 1 14 436 -0.953433241795885 0.340370605503073 0.440366972477064
"Atherurus africanus" 1 15 436 -0.70822040393235 0.47880839720183 0.467889908256881
"Atherurus africanus" 1 16 435 -0.916007425505903 0.359663000278265 0.482758620689655
"Atherurus africanus" 1 17 435 -0.512636883223306 0.608205347994104 0.494252873563218
"Atherurus africanus" 1 18 434 -0.772786667242834 0.439648645249552 0.518433179723502
"Atherurus africanus" 1 19 432 -0.973138956418534 0.330484244778326 0.518518518518518
"Atherurus africanus" 1 20 430 -1.18735088834431 0.235089243216385 0.525581395348837
"Atherurus africanus" 1 21 429 -1.32254121034378 0.185987996043314 0.536130536130536
"Atherurus africanus" 1 22 427 -1.27283219451551 0.203077594247623 0.536299765807963
"Atherurus africanus" 1 23 426 -1.18265286748005 0.236946750875772 0.546948356807512
"Atherurus africanus" 1 24 425 -1.27334924874886 0.202894137958885 0.552941176470588
"Atherurus africanus" 1 25 423 -1.17176529806419 0.241291298584164 0.557919621749409
"Atherurus africanus" 1 26 422 -1.22890000384339 0.219109300035211 0.566350710900474
"Atherurus africanus" 1 27 422 -1.16670974248487 0.24332760706873 0.566350710900474
"Atherurus africanus" 1 28 422 -0.994245768916469 0.320103230682407 0.571090047393365
"Atherurus africanus" 1 29 422 -0.728191162859047 0.466496574726052 0.578199052132701
"Atherurus africanus" 1 30 420 -0.670845119331647 0.502319200916942 0.583333333333333
"Atherurus africanus" 1 31 419 -0.71072861554118 0.477252423584865 0.594272076372315
"Atherurus africanus" 1 32 419 -0.527169435118893 0.598075931951283 0.599045346062053
"Atherurus africanus" 1 33 415 -0.233095626785238 0.815687150705072 0.604819277108434
"Atherurus africanus" 1 34 415 -0.0876690394195844 0.930139727811112 0.609638554216868
"Atherurus africanus" 1 35 413 -0.157200343154127 0.87508695786598 0.617433414043584
"Atherurus africanus" 1 36 412 0.0769827603798659 0.938637259487955 0.62621359223301
"Atherurus africanus" 1 37 410 0.437020413855492 0.662096543503626 0.639024390243902
"Atherurus africanus" 1 38 410 0.429122462685483 0.667834106073157 0.639024390243902
"Atherurus africanus" 1 39 409 0.850242335477735 0.395190368921697 0.643031784841076
"Atherurus africanus" 1 40 408 0.86406549478311 0.387551912725681 0.647058823529412
"Atherurus africanus" 1 41 407 0.79738550260021 0.425227176337951 0.653562653562654
"Atherurus africanus" 1 42 407 0.9071149329284 0.364346022094329 0.656019656019656
"Atherurus africanus" 1 43 405 0.997465128677239 0.318538791962774 0.661728395061728
"Atherurus africanus" 1 44 403 0.896747267128405 0.369853792315328 0.667493796526055
"Atherurus africanus" 1 45 402 0.972824917402534 0.330640326379561 0.671641791044776
"Atherurus africanus" 1 46 401 1.12523887685868 0.260487823019625 0.670822942643391
"Atherurus africanus" 1 47 398 1.29102920587361 0.196693550372024 0.670854271356784
"Atherurus africanus" 1 48 397 1.48258259557748 0.138185344082742 0.680100755667506
"Atherurus africanus" 1 49 395 1.62128714651448 0.104956070344293 0.681012658227848
"Atherurus africanus" 1 50 391 1.63118747328104 0.102850767694665 0.680306905370844
"Atherurus africanus" 1 51 388 1.63587685475085 0.101865362934684 0.685567010309278
"Atherurus africanus" 1 52 386 1.63539815719414 0.10196560848008 0.691709844559586
"Atherurus africanus" 1 53 382 1.72325683474943 0.0848420899313344 0.696335078534031
"Atherurus africanus" 1 54 381 1.62049462602168 0.105126067791615 0.698162729658793
"Atherurus africanus" 1 55 376 1.51287363150464 0.130311760971962 0.702127659574468
"Atherurus africanus" 1 56 373 1.60342802062872 0.10884018880275 0.718498659517426
"Atherurus africanus" 1 57 370 1.51841244279155 0.128910456867756 0.721621621621622
"Atherurus africanus" 1 58 366 1.29113248881712 0.196657740055718 0.726775956284153
"Atherurus africanus" 1 59 364 1.24097073968956 0.214616558299901 0.730769230769231
"Atherurus africanus" 1 60 361 0.855311647844614 0.39237864093255 0.728531855955679
"Atherurus africanus" 1 61 356 0.741571498660074 0.458346997247988 0.730337078651685
"Atherurus africanus" 1 62 351 0.589724128816996 0.555375615880911 0.729344729344729
"Atherurus africanus" 1 63 349 0.643804603078239 0.519702148496029 0.730659025787966
"Atherurus africanus" 1 64 341 0.655809293706146 0.511946835920629 0.730205278592375
"Atherurus africanus" 1 65 327 0.748126514371436 0.454383850499753 0.72782874617737
"Atherurus africanus" 1 66 320 0.904492878642072 0.365734108798834 0.734375
"Atherurus africanus" 1 67 304 0.20357549748851 0.838685242330264 0.730263157894737
"Atherurus africanus" 1 68 296 0.549447716342129 0.582698235668729 0.733108108108108
"Atherurus africanus" 1 69 283 0.192431954355349 0.847403864150957 0.731448763250883
"Atherurus africanus" 1 70 272 0.84854739369641 0.396133189943433 0.727941176470588
"Atherurus africanus" 1 71 268 0.475510919676991 0.634422851946483 0.723880597014925
"Atherurus africanus" 1 72 249 0.42990512370348 0.667264658197434 0.72289156626506
"Atherurus africanus" 1 73 231 NA NA 0.718614718614719
"Atherurus africanus" 1 74 225 NA NA 0.715555555555556
"Atherurus africanus" 1 75 218 NA NA 0.715596330275229
"Atherurus africanus" 1 76 216 NA NA 0.722222222222222
"Atherurus africanus" 1 77 211 NA NA 0.725118483412322
"Atherurus africanus" 1 78 209 NA NA 0.722488038277512
"Atherurus africanus" 1 79 195 NA NA 0.728205128205128
"Atherurus africanus" 1 80 180 NA NA 0.744444444444444
"Atherurus africanus" 1 81 176 NA NA 0.75
"Atherurus africanus" 1 82 170 NA NA 0.752941176470588
"Atherurus africanus" 1 83 166 NA NA 0.746987951807229
"Atherurus africanus" 1 84 166 NA NA 0.746987951807229
"Atherurus africanus" 1 85 166 NA NA 0.753012048192771
"Atherurus africanus" 1 86 165 NA NA 0.757575757575758
"Atherurus africanus" 1 87 163 NA NA 0.754601226993865
"Atherurus africanus" 1 88 158 NA NA 0.759493670886076
"Atherurus africanus" 1 89 153 NA NA 0.77124183006536
"Atherurus africanus" 1 90 151 NA NA 0.781456953642384
"Atherurus africanus" 1 91 150 NA NA 0.78
"Atherurus africanus" 1 92 146 NA NA 0.780821917808219
"Atherurus africanus" 1 93 142 NA NA 0.78169014084507
"Atherurus africanus" 1 94 142 NA NA 0.78169014084507
"Atherurus africanus" 1 95 127 NA NA 0.78740157480315
"Atherurus africanus" 1 96 105 NA NA 0.79047619047619
"Atherurus africanus" 1 97 89 NA NA 0.820224719101124
"Atherurus africanus" 1 98 75 NA NA 0.826666666666667
"Atherurus africanus" 1 99 75 NA NA 0.826666666666667
"Atherurus africanus" 1 100 75 NA NA 0.826666666666667
"Atherurus africanus" 1 101 75 NA NA 0.826666666666667
"Atherurus africanus" 1 102 75 NA NA 0.826666666666667
"Atherurus africanus" 1 103 75 NA NA 0.826666666666667
"Atherurus africanus" 1 104 75 NA NA 0.84
"Atherurus africanus" 1 105 73 NA NA 0.835616438356164
"Atherurus africanus" 1 106 61 NA NA 0.852459016393443
"Atherurus africanus" 1 107 56 NA NA 0.875
"Atherurus africanus" 1 108 49 NA NA 0.877551020408163
"Atherurus africanus" 1 109 48 NA NA 0.875
"Atherurus africanus" 1 110 47 NA NA 0.872340425531915
"Atherurus africanus" 1 111 45 NA NA 0.866666666666667
"Atherurus africanus" 1 112 45 NA NA 0.866666666666667
"Atherurus africanus" 1 113 45 NA NA 0.866666666666667
"Atherurus africanus" 1 114 45 NA NA 0.866666666666667
"Atherurus africanus" 1 115 44 NA NA 0.863636363636364
"Atherurus africanus" 1 116 44 NA NA 0.863636363636364
"Atherurus africanus" 1 117 43 NA NA 0.86046511627907
"Atherurus africanus" 1 118 43 NA NA 0.86046511627907
"Atherurus africanus" 1 119 43 NA NA 0.86046511627907
"Atherurus africanus" 1 120 43 NA NA 0.86046511627907
"Atherurus africanus" 1 121 43 NA NA 0.86046511627907
"Atherurus africanus" 1 122 43 NA NA 0.86046511627907
"Atherurus africanus" 1 123 43 NA NA 0.86046511627907
"Atherurus africanus" 1 124 43 NA NA 0.86046511627907
"Atherurus africanus" 1 125 43 NA NA 0.86046511627907
"Atherurus africanus" 1 126 43 NA NA 0.86046511627907
"Atherurus africanus" 1 127 43 NA NA 0.86046511627907
"Atherurus africanus" 1 128 42 NA NA 0.857142857142857
"Atherurus africanus" 1 129 42 NA NA 0.857142857142857
"Atherurus africanus" 1 130 41 NA NA 0.853658536585366
"Atherurus africanus" 1 131 41 NA NA 0.853658536585366
"Atherurus africanus" 1 132 41 NA NA 0.853658536585366
"Atherurus africanus" 1 133 41 NA NA 0.853658536585366
"Atherurus africanus" 1 134 41 NA NA 0.853658536585366
"Atherurus africanus" 1 135 41 NA NA 0.853658536585366
"Atherurus africanus" 1 136 41 NA NA 0.853658536585366
"Atherurus africanus" 1 137 41 NA NA 0.853658536585366
"Atherurus africanus" 1 138 41 NA NA 0.853658536585366
"Atherurus africanus" 1 139 40 NA NA 0.85
"Atherurus africanus" 1 140 40 NA NA 0.85
"Atherurus africanus" 1 141 40 NA NA 0.85
"Atherurus africanus" 1 142 40 NA NA 0.85
"Atherurus africanus" 1 143 40 NA NA 0.85
"Atherurus africanus" 1 144 40 NA NA 0.85
"Atherurus africanus" 1 145 40 NA NA 0.85
"Atherurus africanus" 1 146 40 NA NA 0.85
"Atherurus africanus" 1 147 40 NA NA 0.85
"Atherurus africanus" 1 148 40 NA NA 0.85
"Atherurus africanus" 1 149 40 NA NA 0.85
"Atherurus africanus" 1 150 40 NA NA 0.85
"Atherurus africanus" 1 151 40 NA NA 0.85
"Atherurus africanus" 1 152 40 NA NA 0.85
"Atherurus africanus" 1 153 40 NA NA 0.85
"Atherurus africanus" 1 154 39 NA NA 0.846153846153846
"Atherurus africanus" 1 155 39 NA NA 0.846153846153846
"Atherurus africanus" 1 156 39 NA NA 0.846153846153846
"Atherurus africanus" 1 157 39 NA NA 0.846153846153846
"Atherurus africanus" 1 158 39 NA NA 0.846153846153846
"Atherurus africanus" 1 159 39 NA NA 0.846153846153846
"Atherurus africanus" 1 160 39 NA NA 0.846153846153846
"Atherurus africanus" 1 161 39 NA NA 0.846153846153846
"Atherurus africanus" 1 162 39 NA NA 0.846153846153846
"Atherurus africanus" 1 163 39 NA NA 0.846153846153846
"Atherurus africanus" 1 164 39 NA NA 0.846153846153846
"Atherurus africanus" 1 165 39 NA NA 0.846153846153846
"Atherurus africanus" 1 166 39 NA NA 0.846153846153846
"Atherurus africanus" 1 167 39 NA NA 0.846153846153846
"Atherurus africanus" 1 168 39 NA NA 0.846153846153846
"Atherurus africanus" 1 169 39 NA NA 0.846153846153846
"Atherurus africanus" 1 170 39 NA NA 0.846153846153846
"Atherurus africanus" 1 171 39 NA NA 0.846153846153846
"Atherurus africanus" 1 172 39 NA NA 0.846153846153846
"Atherurus africanus" 1 173 38 NA NA 0.842105263157895
"Atherurus africanus" 1 174 38 NA NA 0.842105263157895
"Atherurus africanus" 1 175 37 NA NA 0.837837837837838
"Atherurus africanus" 1 176 37 NA NA 0.837837837837838
"Atherurus africanus" 1 177 37 NA NA 0.837837837837838
"Atherurus africanus" 1 178 37 NA NA 0.837837837837838
"Atherurus africanus" 1 179 37 NA NA 0.837837837837838
"Atherurus africanus" 1 180 37 NA NA 0.837837837837838
"Atherurus africanus" 1 181 37 NA NA 0.837837837837838
"Atherurus africanus" 1 182 37 NA NA 0.837837837837838
"Atherurus africanus" 1 183 37 NA NA 0.837837837837838
"Atherurus africanus" 1 184 36 NA NA 0.833333333333333
"Atherurus africanus" 1 185 35 NA NA 0.828571428571429
"Atherurus africanus" 1 186 35 NA NA 0.828571428571429
"Atherurus africanus" 1 187 34 NA NA 0.823529411764706
"Atherurus africanus" 1 188 34 NA NA 0.823529411764706
"Atherurus africanus" 1 189 34 NA NA 0.823529411764706
"Atherurus africanus" 1 190 34 NA NA 0.823529411764706
"Atherurus africanus" 1 191 33 NA NA 0.818181818181818
"Atherurus africanus" 1 192 33 NA NA 0.818181818181818
"Atherurus africanus" 1 193 33 NA NA 0.818181818181818
"Atherurus africanus" 1 194 33 NA NA 0.818181818181818
"Atherurus africanus" 1 195 33 NA NA 0.818181818181818
"Atherurus africanus" 1 196 33 NA NA 0.818181818181818
"Atherurus africanus" 1 197 33 NA NA 0.818181818181818
"Atherurus africanus" 1 198 33 NA NA 0.818181818181818
"Atherurus africanus" 1 199 33 NA NA 0.818181818181818
"Atherurus africanus" 1 200 33 NA NA 0.848484848484849
"Atherurus africanus" 2 4 452 -1.52315931570865 0.127718851909766 0.194690265486726
"Atherurus africanus" 2 6 449 -0.623030016581229 0.533264796882124 0.273942093541203
"Atherurus africanus" 2 8 447 -0.504449212144187 0.613945743185955 0.322147651006711
"Atherurus africanus" 2 10 445 -0.806382867218414 0.420022122557371 0.375280898876404
"Atherurus africanus" 2 12 439 -0.847381451124534 0.396782539976871 0.403189066059225
"Atherurus africanus" 2 14 436 -0.790173860663191 0.429426239358917 0.440366972477064
"Atherurus africanus" 2 16 435 -0.785780689139398 0.431995981754369 0.482758620689655
"Atherurus africanus" 2 18 434 -0.64818904835245 0.51686268437744 0.518433179723502
"Atherurus africanus" 2 20 430 -0.977913723418157 0.328116997111345 0.525581395348837
"Atherurus africanus" 2 22 427 -1.03979004167395 0.298437456692385 0.536299765807963
"Atherurus africanus" 2 24 425 -1.04563331097385 0.295730363589732 0.552941176470588
"Atherurus africanus" 2 26 422 -1.04309703541051 0.296903353602623 0.566350710900474
"Atherurus africanus" 2 28 422 -0.901247989699893 0.367456480403635 0.571090047393365
"Atherurus africanus" 2 30 420 -0.604231044101708 0.545690044068199 0.583333333333333
"Atherurus africanus" 2 32 419 -0.476262752827195 0.633887197687742 0.599045346062053
"Atherurus africanus" 2 34 415 -0.0448014690881501 0.96426555410732 0.609638554216868
"Atherurus africanus" 2 36 412 0.140490196313648 0.88827269787919 0.62621359223301
"Atherurus africanus" 2 38 410 0.45657525571124 0.647976367970153 0.639024390243902
"Atherurus africanus" 2 40 408 0.749773933999855 0.453390870165201 0.647058823529412
"Atherurus africanus" 2 42 407 0.77855801302059 0.436240120423802 0.656019656019656
"Atherurus africanus" 2 44 403 0.72609462417592 0.467780764387794 0.667493796526055
"Atherurus africanus" 2 46 401 0.884358390249231 0.376502777225336 0.670822942643391
"Atherurus africanus" 2 48 397 1.14713651328734 0.251325205204031 0.680100755667506
"Atherurus africanus" 2 50 391 1.29076216949125 0.196786159501173 0.680306905370844
"Atherurus africanus" 2 52 386 1.28867332340954 0.197511680425879 0.691709844559586
"Atherurus africanus" 2 54 381 1.27686993209286 0.201648171078316 0.698162729658793
"Atherurus africanus" 2 56 373 1.23536876011295 0.21669329384361 0.718498659517426
"Atherurus africanus" 2 58 366 0.994200352096062 0.320125336734697 0.726775956284153
"Atherurus africanus" 2 60 361 0.625589019460403 0.531584542876185 0.728531855955679
"Atherurus africanus" 2 62 351 0.43809990299636 0.661313864736689 0.729344729344729
"Atherurus africanus" 2 64 341 0.515562567100725 0.606159960247092 0.730205278592375
"Atherurus africanus" 2 66 320 0.831009006338805 0.405968541519411 0.734375
"Atherurus africanus" 2 68 296 0.611571105241584 0.540821560306478 0.733108108108108
"Atherurus africanus" 2 70 272 0.98457851760429 0.324831146102389 0.727941176470588
"Atherurus africanus" 2 72 249 0.651942005817667 0.514438585398457 0.72289156626506
"Atherurus africanus" 2 74 225 NA NA 0.715555555555556
"Atherurus africanus" 2 76 216 NA NA 0.722222222222222
"Atherurus africanus" 2 78 209 NA NA 0.722488038277512
"Atherurus africanus" 2 80 180 NA NA 0.744444444444444
"Atherurus africanus" 2 82 170 NA NA 0.752941176470588
"Atherurus africanus" 2 84 166 NA NA 0.746987951807229
"Atherurus africanus" 2 86 165 NA NA 0.757575757575758
"Atherurus africanus" 2 88 158 NA NA 0.759493670886076
"Atherurus africanus" 2 90 151 NA NA 0.781456953642384
"Atherurus africanus" 2 92 146 NA NA 0.780821917808219
"Atherurus africanus" 2 94 142 NA NA 0.78169014084507
"Atherurus africanus" 2 96 105 NA NA 0.79047619047619
"Atherurus africanus" 2 98 75 NA NA 0.826666666666667
"Atherurus africanus" 2 100 75 NA NA 0.826666666666667
"Atherurus africanus" 2 102 75 NA NA 0.826666666666667
"Atherurus africanus" 2 104 75 NA NA 0.84
"Atherurus africanus" 2 106 61 NA NA 0.852459016393443
"Atherurus africanus" 2 108 49 NA NA 0.877551020408163
"Atherurus africanus" 2 110 47 NA NA 0.872340425531915
"Atherurus africanus" 2 112 45 NA NA 0.866666666666667
"Atherurus africanus" 2 114 45 NA NA 0.866666666666667
"Atherurus africanus" 2 116 44 NA NA 0.863636363636364
"Atherurus africanus" 2 118 43 NA NA 0.86046511627907
"Atherurus africanus" 2 120 43 NA NA 0.86046511627907
"Atherurus africanus" 2 122 43 NA NA 0.86046511627907
"Atherurus africanus" 2 124 43 NA NA 0.86046511627907
"Atherurus africanus" 2 126 43 NA NA 0.86046511627907
"Atherurus africanus" 2 128 42 NA NA 0.857142857142857
"Atherurus africanus" 2 130 41 NA NA 0.853658536585366
"Atherurus africanus" 2 132 41 NA NA 0.853658536585366
"Atherurus africanus" 2 134 41 NA NA 0.853658536585366
"Atherurus africanus" 2 136 41 NA NA 0.853658536585366
"Atherurus africanus" 2 138 41 NA NA 0.853658536585366
"Atherurus africanus" 2 140 40 NA NA 0.85
"Atherurus africanus" 2 142 40 NA NA 0.85
"Atherurus africanus" 2 144 40 NA NA 0.85
"Atherurus africanus" 2 146 40 NA NA 0.85
"Atherurus africanus" 2 148 40 NA NA 0.85
"Atherurus africanus" 2 150 40 NA NA 0.85
"Atherurus africanus" 2 152 40 NA NA 0.85
"Atherurus africanus" 2 154 39 NA NA 0.846153846153846
"Atherurus africanus" 2 156 39 NA NA 0.846153846153846
"Atherurus africanus" 2 158 39 NA NA 0.846153846153846
"Atherurus africanus" 2 160 39 NA NA 0.846153846153846
"Atherurus africanus" 2 162 39 NA NA 0.846153846153846
"Atherurus africanus" 2 164 39 NA NA 0.846153846153846
"Atherurus africanus" 2 166 39 NA NA 0.846153846153846
"Atherurus africanus" 2 168 39 NA NA 0.846153846153846
"Atherurus africanus" 2 170 39 NA NA 0.846153846153846
"Atherurus africanus" 2 172 39 NA NA 0.846153846153846
"Atherurus africanus" 2 174 38 NA NA 0.842105263157895
"Atherurus africanus" 2 176 37 NA NA 0.837837837837838
"Atherurus africanus" 2 178 37 NA NA 0.837837837837838
"Atherurus africanus" 2 180 37 NA NA 0.837837837837838
"Atherurus africanus" 2 182 37 NA NA 0.837837837837838
"Atherurus africanus" 2 184 36 NA NA 0.833333333333333
"Atherurus africanus" 2 186 35 NA NA 0.828571428571429
"Atherurus africanus" 2 188 34 NA NA 0.823529411764706
"Atherurus africanus" 2 190 34 NA NA 0.823529411764706
"Atherurus africanus" 2 192 33 NA NA 0.818181818181818
"Atherurus africanus" 2 194 33 NA NA 0.818181818181818
"Atherurus africanus" 2 196 33 NA NA 0.818181818181818
"Atherurus africanus" 2 198 33 NA NA 0.818181818181818
"Atherurus africanus" 2 200 33 NA NA 0.848484848484849
"Atherurus africanus" 3 6 449 -0.707240062848263 0.479417305782037 0.273942093541203
"Atherurus africanus" 3 9 447 -0.648928961946792 0.516384293727724 0.342281879194631
"Atherurus africanus" 3 12 439 -0.760838829136749 0.446753338961374 0.403189066059225
"Atherurus africanus" 3 15 436 -0.487781960302664 0.625704290541083 0.467889908256881
"Atherurus africanus" 3 18 434 -0.54927461326017 0.582817006644847 0.518433179723502
"Atherurus africanus" 3 21 429 -0.973822988921294 0.330144436531222 0.536130536130536
"Atherurus africanus" 3 24 425 -0.914512199911238 0.360447770327328 0.552941176470588
"Atherurus africanus" 3 27 422 -0.902593827263249 0.366741503819563 0.566350710900474
"Atherurus africanus" 3 30 420 -0.491690965126608 0.622937826230261 0.583333333333333
"Atherurus africanus" 3 33 415 0.0370460959568006 0.970448251687644 0.604819277108434
"Atherurus africanus" 3 36 412 0.308277206219539 0.757871408809022 0.62621359223301
"Atherurus africanus" 3 39 409 0.817426830310575 0.413684548047797 0.643031784841076
"Atherurus africanus" 3 42 407 0.883382730682555 0.377029518124806 0.656019656019656
"Atherurus africanus" 3 45 402 0.916886970436125 0.359201872326174 0.671641791044776
"Atherurus africanus" 3 48 397 1.2951870855932 0.195255698772464 0.680100755667506
"Atherurus africanus" 3 51 388 1.43629981567905 0.150917046484085 0.685567010309278
"Atherurus africanus" 3 54 381 1.46389892372867 0.143221567514934 0.698162729658793
"Atherurus africanus" 3 57 370 1.36048775576043 0.173675624976983 0.721621621621622
"Atherurus africanus" 3 60 361 0.831207043682051 0.405856676385142 0.728531855955679
"Atherurus africanus" 3 63 349 0.649609195705644 0.51594469164075 0.730659025787966
"Atherurus africanus" 3 66 320 0.86295877375199 0.388160134105904 0.734375
"Atherurus africanus" 3 69 283 0.532438089375766 0.594422610381615 0.731448763250883
"Atherurus africanus" 3 72 249 0.803829609755418 0.421495386788806 0.72289156626506
"Atherurus africanus" 3 75 218 NA NA 0.715596330275229
"Atherurus africanus" 3 78 209 NA NA 0.722488038277512
"Atherurus africanus" 3 81 176 NA NA 0.75
"Atherurus africanus" 3 84 166 NA NA 0.746987951807229
"Atherurus africanus" 3 87 163 NA NA 0.754601226993865
"Atherurus africanus" 3 90 151 NA NA 0.781456953642384
"Atherurus africanus" 3 93 142 NA NA 0.78169014084507
"Atherurus africanus" 3 96 105 NA NA 0.79047619047619
"Atherurus africanus" 3 99 75 NA NA 0.826666666666667
"Atherurus africanus" 3 102 75 NA NA 0.826666666666667
"Atherurus africanus" 3 105 73 NA NA 0.835616438356164
"Atherurus africanus" 3 108 49 NA NA 0.877551020408163
"Atherurus africanus" 3 111 45 NA NA 0.866666666666667
"Atherurus africanus" 3 114 45 NA NA 0.866666666666667
"Atherurus africanus" 3 117 43 NA NA 0.86046511627907
"Atherurus africanus" 3 120 43 NA NA 0.86046511627907
"Atherurus africanus" 3 123 43 NA NA 0.86046511627907
"Atherurus africanus" 3 126 43 NA NA 0.86046511627907
"Atherurus africanus" 3 129 42 NA NA 0.857142857142857
