"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Cephalophus leucogaster" 1 2 454 NA NA 0.0066079295154185
"Cephalophus leucogaster" 1 3 454 NA NA 0.00881057268722467
"Cephalophus leucogaster" 1 4 452 -1.23446012557905 0.21703149632898 0.0110619469026549
"Cephalophus leucogaster" 1 5 450 NA NA 0.0155555555555556
"Cephalophus leucogaster" 1 6 449 NA NA 0.0200445434298441
"Cephalophus leucogaster" 1 7 447 -1.97591666894939 0.0481642159588925 0.0201342281879195
"Cephalophus leucogaster" 1 8 447 NA NA 0.0201342281879195
"Cephalophus leucogaster" 1 9 447 -2.25308731541511 0.0242536440994352 0.0246085011185682
"Cephalophus leucogaster" 1 10 445 NA NA 0.0292134831460674
"Cephalophus leucogaster" 1 11 440 NA NA 0.0386363636363636
"Cephalophus leucogaster" 1 12 439 -2.77961994912895 0.00544225502250121 0.0387243735763098
"Cephalophus leucogaster" 1 13 438 -2.89163556722536 0.0038324220957133 0.0410958904109589
"Cephalophus leucogaster" 1 14 436 -2.90807482250902 0.00363661315967544 0.0412844036697248
"Cephalophus leucogaster" 1 15 436 -2.99906362406808 0.00270810748287456 0.0435779816513761
"Cephalophus leucogaster" 1 16 435 -3.0767003743439 0.00209305574421202 0.0459770114942529
"Cephalophus leucogaster" 1 17 435 -3.16711184287297 0.00153961092908808 0.0482758620689655
"Cephalophus leucogaster" 1 18 434 -3.23287741518353 0.0012255013743003 0.0506912442396313
"Cephalophus leucogaster" 1 19 432 -3.44429761711259 0.000572545089895008 0.0578703703703704
"Cephalophus leucogaster" 1 20 430 -3.54362621913063 0.000394664345285945 0.0604651162790698
"Cephalophus leucogaster" 1 21 429 -3.64888145391806 0.000263384600102261 0.0652680652680653
"Cephalophus leucogaster" 1 22 427 -3.67061808881614 0.0002419646488803 0.0655737704918033
"Cephalophus leucogaster" 1 23 426 -3.74392390733443 0.000181168539962009 0.068075117370892
"Cephalophus leucogaster" 1 24 425 -3.87326470278125 0.000107387082408599 0.0705882352941176
"Cephalophus leucogaster" 1 25 423 -3.80297625471817 0.000142968063772947 0.0732860520094563
"Cephalophus leucogaster" 1 26 422 -4.01777066393744 5.87513341762646e-05 0.0781990521327014
"Cephalophus leucogaster" 1 27 422 -4.02091041850359 5.79736497109226e-05 0.0781990521327014
"Cephalophus leucogaster" 1 28 422 -4.02353386729166 5.73313353400633e-05 0.0781990521327014
"Cephalophus leucogaster" 1 29 422 -4.04757688728136 5.17505852878858e-05 0.0781990521327014
"Cephalophus leucogaster" 1 30 420 NA NA 0.0857142857142857
"Cephalophus leucogaster" 1 31 419 NA NA 0.0883054892601432
"Cephalophus leucogaster" 1 32 419 NA NA 0.0883054892601432
"Cephalophus leucogaster" 1 33 415 NA NA 0.0891566265060241
"Cephalophus leucogaster" 1 34 415 NA NA 0.091566265060241
"Cephalophus leucogaster" 1 35 413 NA NA 0.0920096852300242
"Cephalophus leucogaster" 1 36 412 NA NA 0.0922330097087379
"Cephalophus leucogaster" 1 37 410 NA NA 0.0926829268292683
"Cephalophus leucogaster" 1 38 410 NA NA 0.0926829268292683
"Cephalophus leucogaster" 1 39 409 -4.74543514944194 2.08058565884422e-06 0.097799511002445
"Cephalophus leucogaster" 1 40 408 -4.78439190687957 1.71505762653728e-06 0.0955882352941176
"Cephalophus leucogaster" 1 41 407 -4.82888009914813 1.37303046356722e-06 0.0958230958230958
"Cephalophus leucogaster" 1 42 407 -4.84234844814301 1.28313494544183e-06 0.0958230958230958
"Cephalophus leucogaster" 1 43 405 -4.81602613435602 1.46445351897986e-06 0.0938271604938272
"Cephalophus leucogaster" 1 44 403 -4.83956198189394 1.30125604502354e-06 0.0942928039702233
"Cephalophus leucogaster" 1 45 402 -4.85033671517157 1.23252062097846e-06 0.0945273631840796
"Cephalophus leucogaster" 1 46 401 -4.86741069576701 1.13069897988563e-06 0.0947630922693267
"Cephalophus leucogaster" 1 47 398 -4.87955569873388 1.06325093513808e-06 0.0954773869346734
"Cephalophus leucogaster" 1 48 397 -5.00034719040592 5.72271689811809e-07 0.100755667506297
"Cephalophus leucogaster" 1 49 395 -5.02253198774454 5.0994700762717e-07 0.10126582278481
"Cephalophus leucogaster" 1 50 391 -5.03681616942073 4.73338969294799e-07 0.10230179028133
"Cephalophus leucogaster" 1 51 388 -4.89666967690852 9.7474484945142e-07 0.100515463917526
"Cephalophus leucogaster" 1 52 386 -4.89056316501053 1.00547885602305e-06 0.101036269430052
"Cephalophus leucogaster" 1 53 382 -4.91605185423571 8.83070163388529e-07 0.102094240837696
"Cephalophus leucogaster" 1 54 381 -4.90812004399066 9.19535675330483e-07 0.102362204724409
"Cephalophus leucogaster" 1 55 376 -5.15193473642402 2.57812762823868e-07 0.109042553191489
"Cephalophus leucogaster" 1 56 373 -5.22676005363626 1.72506131337077e-07 0.112600536193029
"Cephalophus leucogaster" 1 57 370 -5.17211852191385 2.3145468951091e-07 0.108108108108108
"Cephalophus leucogaster" 1 58 366 -5.23711588352155 1.63105289606163e-07 0.112021857923497
"Cephalophus leucogaster" 1 59 364 -5.31123892682091 1.08882468097562e-07 0.115384615384615
"Cephalophus leucogaster" 1 60 361 -5.39838288614409 6.72442403114938e-08 0.119113573407202
"Cephalophus leucogaster" 1 61 356 -5.35516808637868 8.54769189244394e-08 0.120786516853933
"Cephalophus leucogaster" 1 62 351 -5.32590919530303 1.00449306379997e-07 0.122507122507123
"Cephalophus leucogaster" 1 63 349 -5.42322193458319 5.85342420871227e-08 0.126074498567335
"Cephalophus leucogaster" 1 64 341 -5.31465595324966 1.06859030372929e-07 0.129032258064516
"Cephalophus leucogaster" 1 65 327 -5.14832649054483 2.62820740276906e-07 0.137614678899083
"Cephalophus leucogaster" 1 66 320 -5.0493928127051 4.43216536911978e-07 0.140625
"Cephalophus leucogaster" 1 67 304 -4.92894489128745 8.26748886134709e-07 0.148026315789474
"Cephalophus leucogaster" 1 68 296 -4.90473616464817 9.35530010826436e-07 0.148648648648649
"Cephalophus leucogaster" 1 69 283 -4.63758066934422 3.52511044696994e-06 0.15547703180212
"Cephalophus leucogaster" 1 70 272 -4.61430938081816 3.94404558953917e-06 0.158088235294118
"Cephalophus leucogaster" 1 71 268 -4.66125431614408 3.14288081495977e-06 0.164179104477612
"Cephalophus leucogaster" 1 72 249 -4.71854476699721 2.37537700863679e-06 0.156626506024096
"Cephalophus leucogaster" 1 73 231 NA NA 0.138528138528139
"Cephalophus leucogaster" 1 74 225 NA NA 0.142222222222222
"Cephalophus leucogaster" 1 75 218 NA NA 0.146788990825688
"Cephalophus leucogaster" 1 76 216 NA NA 0.148148148148148
"Cephalophus leucogaster" 1 77 211 NA NA 0.151658767772512
"Cephalophus leucogaster" 1 78 209 NA NA 0.15311004784689
"Cephalophus leucogaster" 1 79 195 NA NA 0.158974358974359
"Cephalophus leucogaster" 1 80 180 NA NA 0.161111111111111
"Cephalophus leucogaster" 1 81 176 NA NA 0.170454545454545
"Cephalophus leucogaster" 1 82 170 NA NA 0.182352941176471
"Cephalophus leucogaster" 1 83 166 NA NA 0.186746987951807
"Cephalophus leucogaster" 1 84 166 NA NA 0.186746987951807
"Cephalophus leucogaster" 1 85 166 NA NA 0.186746987951807
"Cephalophus leucogaster" 1 86 165 NA NA 0.187878787878788
"Cephalophus leucogaster" 1 87 163 NA NA 0.184049079754601
"Cephalophus leucogaster" 1 88 158 NA NA 0.177215189873418
"Cephalophus leucogaster" 1 89 153 NA NA 0.183006535947712
"Cephalophus leucogaster" 1 90 151 NA NA 0.178807947019868
"Cephalophus leucogaster" 1 91 150 NA NA 0.18
"Cephalophus leucogaster" 1 92 146 NA NA 0.171232876712329
"Cephalophus leucogaster" 1 93 142 NA NA 0.161971830985915
"Cephalophus leucogaster" 1 94 142 NA NA 0.161971830985915
"Cephalophus leucogaster" 1 95 127 NA NA 0.165354330708661
"Cephalophus leucogaster" 1 96 105 NA NA 0.133333333333333
"Cephalophus leucogaster" 1 97 89 NA NA 0.101123595505618
"Cephalophus leucogaster" 1 98 75 NA NA 0
"Cephalophus leucogaster" 1 99 75 NA NA 0
"Cephalophus leucogaster" 1 100 75 NA NA 0
"Cephalophus leucogaster" 1 101 75 NA NA 0
"Cephalophus leucogaster" 1 102 75 NA NA 0
"Cephalophus leucogaster" 1 103 75 NA NA 0
"Cephalophus leucogaster" 1 104 75 NA NA 0
"Cephalophus leucogaster" 1 105 73 NA NA 0
"Cephalophus leucogaster" 1 106 61 NA NA 0
"Cephalophus leucogaster" 1 107 56 NA NA 0
"Cephalophus leucogaster" 1 108 49 NA NA 0
"Cephalophus leucogaster" 1 109 48 NA NA 0
"Cephalophus leucogaster" 1 110 47 NA NA 0
"Cephalophus leucogaster" 1 111 45 NA NA 0
"Cephalophus leucogaster" 1 112 45 NA NA 0
"Cephalophus leucogaster" 1 113 45 NA NA 0
"Cephalophus leucogaster" 1 114 45 NA NA 0
"Cephalophus leucogaster" 1 115 44 NA NA 0
"Cephalophus leucogaster" 1 116 44 NA NA 0
"Cephalophus leucogaster" 1 117 43 NA NA 0
"Cephalophus leucogaster" 1 118 43 NA NA 0
"Cephalophus leucogaster" 1 119 43 NA NA 0
"Cephalophus leucogaster" 1 120 43 NA NA 0
"Cephalophus leucogaster" 1 121 43 NA NA 0
"Cephalophus leucogaster" 1 122 43 NA NA 0
"Cephalophus leucogaster" 1 123 43 NA NA 0
"Cephalophus leucogaster" 1 124 43 NA NA 0
"Cephalophus leucogaster" 1 125 43 NA NA 0
"Cephalophus leucogaster" 1 126 43 NA NA 0
"Cephalophus leucogaster" 1 127 43 NA NA 0
"Cephalophus leucogaster" 1 128 42 NA NA 0
"Cephalophus leucogaster" 1 129 42 NA NA 0
"Cephalophus leucogaster" 1 130 41 NA NA 0
"Cephalophus leucogaster" 1 131 41 NA NA 0
"Cephalophus leucogaster" 1 132 41 NA NA 0
"Cephalophus leucogaster" 1 133 41 NA NA 0
"Cephalophus leucogaster" 1 134 41 NA NA 0
"Cephalophus leucogaster" 1 135 41 NA NA 0
"Cephalophus leucogaster" 1 136 41 NA NA 0
"Cephalophus leucogaster" 1 137 41 NA NA 0
"Cephalophus leucogaster" 1 138 41 NA NA 0
"Cephalophus leucogaster" 1 139 40 NA NA 0
"Cephalophus leucogaster" 1 140 40 NA NA 0
"Cephalophus leucogaster" 1 141 40 NA NA 0
"Cephalophus leucogaster" 1 142 40 NA NA 0
"Cephalophus leucogaster" 1 143 40 NA NA 0
"Cephalophus leucogaster" 1 144 40 NA NA 0
"Cephalophus leucogaster" 1 145 40 NA NA 0
"Cephalophus leucogaster" 1 146 40 NA NA 0
"Cephalophus leucogaster" 1 147 40 NA NA 0
"Cephalophus leucogaster" 1 148 40 NA NA 0
"Cephalophus leucogaster" 1 149 40 NA NA 0
"Cephalophus leucogaster" 1 150 40 NA NA 0
"Cephalophus leucogaster" 1 151 40 NA NA 0
"Cephalophus leucogaster" 1 152 40 NA NA 0
"Cephalophus leucogaster" 1 153 40 NA NA 0
"Cephalophus leucogaster" 1 154 39 NA NA 0
"Cephalophus leucogaster" 1 155 39 NA NA 0
"Cephalophus leucogaster" 1 156 39 NA NA 0
"Cephalophus leucogaster" 1 157 39 NA NA 0
"Cephalophus leucogaster" 1 158 39 NA NA 0
"Cephalophus leucogaster" 1 159 39 NA NA 0
"Cephalophus leucogaster" 1 160 39 NA NA 0
"Cephalophus leucogaster" 1 161 39 NA NA 0
"Cephalophus leucogaster" 1 162 39 NA NA 0
"Cephalophus leucogaster" 1 163 39 NA NA 0
"Cephalophus leucogaster" 1 164 39 NA NA 0
"Cephalophus leucogaster" 1 165 39 NA NA 0
"Cephalophus leucogaster" 1 166 39 NA NA 0
"Cephalophus leucogaster" 1 167 39 NA NA 0
"Cephalophus leucogaster" 1 168 39 NA NA 0
"Cephalophus leucogaster" 1 169 39 NA NA 0
"Cephalophus leucogaster" 1 170 39 NA NA 0
"Cephalophus leucogaster" 1 171 39 NA NA 0
"Cephalophus leucogaster" 1 172 39 NA NA 0
"Cephalophus leucogaster" 1 173 38 NA NA 0
"Cephalophus leucogaster" 1 174 38 NA NA 0
"Cephalophus leucogaster" 1 175 37 NA NA 0
"Cephalophus leucogaster" 1 176 37 NA NA 0
"Cephalophus leucogaster" 1 177 37 NA NA 0
"Cephalophus leucogaster" 1 178 37 NA NA 0
"Cephalophus leucogaster" 1 179 37 NA NA 0
"Cephalophus leucogaster" 1 180 37 NA NA 0
"Cephalophus leucogaster" 1 181 37 NA NA 0
"Cephalophus leucogaster" 1 182 37 NA NA 0
"Cephalophus leucogaster" 1 183 37 NA NA 0
"Cephalophus leucogaster" 1 184 36 NA NA 0
"Cephalophus leucogaster" 1 185 35 NA NA 0
"Cephalophus leucogaster" 1 186 35 NA NA 0
"Cephalophus leucogaster" 1 187 34 NA NA 0
"Cephalophus leucogaster" 1 188 34 NA NA 0
"Cephalophus leucogaster" 1 189 34 NA NA 0
"Cephalophus leucogaster" 1 190 34 NA NA 0
"Cephalophus leucogaster" 1 191 33 NA NA 0
"Cephalophus leucogaster" 1 192 33 NA NA 0
"Cephalophus leucogaster" 1 193 33 NA NA 0
"Cephalophus leucogaster" 1 194 33 NA NA 0
"Cephalophus leucogaster" 1 195 33 NA NA 0
"Cephalophus leucogaster" 1 196 33 NA NA 0
"Cephalophus leucogaster" 1 197 33 NA NA 0
"Cephalophus leucogaster" 1 198 33 NA NA 0
"Cephalophus leucogaster" 1 199 33 NA NA 0
"Cephalophus leucogaster" 1 200 33 NA NA 0
"Cephalophus leucogaster" 2 4 452 -1.22207353992158 0.221679818253161 0.0110619469026549
"Cephalophus leucogaster" 2 6 449 NA NA 0.0200445434298441
"Cephalophus leucogaster" 2 8 447 NA NA 0.0201342281879195
"Cephalophus leucogaster" 2 10 445 NA NA 0.0292134831460674
"Cephalophus leucogaster" 2 12 439 -2.76098984732371 0.0057626467780657 0.0387243735763098
"Cephalophus leucogaster" 2 14 436 -2.88612070683799 0.0039002254133838 0.0412844036697248
"Cephalophus leucogaster" 2 16 435 -3.05307588551672 0.00226508650716113 0.0459770114942529
"Cephalophus leucogaster" 2 18 434 -3.21583298029276 0.00130066505868478 0.0506912442396313
"Cephalophus leucogaster" 2 20 430 -3.52529702991172 0.000423008196930957 0.0604651162790698
"Cephalophus leucogaster" 2 22 427 -3.6514339567959 0.000260780164393149 0.0655737704918033
"Cephalophus leucogaster" 2 24 425 -3.83682492435057 0.000124635258502539 0.0705882352941176
"Cephalophus leucogaster" 2 26 422 -3.96639115252983 7.29690759240848e-05 0.0781990521327014
"Cephalophus leucogaster" 2 28 422 -3.96668705831813 7.28785814432538e-05 0.0781990521327014
"Cephalophus leucogaster" 2 30 420 -4.12722052242874 3.67174253791739e-05 0.0857142857142857
"Cephalophus leucogaster" 2 32 419 -4.20804656381754 2.57587795179479e-05 0.0883054892601432
"Cephalophus leucogaster" 2 34 415 -4.3079235407169 1.64794327645109e-05 0.091566265060241
"Cephalophus leucogaster" 2 36 412 -4.32102268546423 1.55307703984058e-05 0.0922330097087379
"Cephalophus leucogaster" 2 38 410 -4.3788252156967 1.19320778970441e-05 0.0926829268292683
"Cephalophus leucogaster" 2 40 408 -4.59337378265456 4.36136850659809e-06 0.0955882352941176
"Cephalophus leucogaster" 2 42 407 -4.64252161997002 3.44182610806889e-06 0.0958230958230958
"Cephalophus leucogaster" 2 44 403 -4.62481872551433 3.74926151795907e-06 0.0942928039702233
"Cephalophus leucogaster" 2 46 401 -4.64430304256903 3.41226394872243e-06 0.0947630922693267
"Cephalophus leucogaster" 2 48 397 -4.79933331840263 1.59194661414225e-06 0.100755667506297
"Cephalophus leucogaster" 2 50 391 -4.82904734847064 1.37187788198831e-06 0.10230179028133
"Cephalophus leucogaster" 2 52 386 -4.69638394824599 2.64807573488312e-06 0.101036269430052
"Cephalophus leucogaster" 2 54 381 -4.70499948210405 2.53866598716831e-06 0.102362204724409
"Cephalophus leucogaster" 2 56 373 -4.99625447679948 5.84545141810109e-07 0.112600536193029
"Cephalophus leucogaster" 2 58 366 -4.99018057940193 6.03228736060132e-07 0.112021857923497
"Cephalophus leucogaster" 2 60 361 -5.16909163198517 2.35234546839186e-07 0.119113573407202
"Cephalophus leucogaster" 2 62 351 -5.09670345574258 3.4561908405127e-07 0.122507122507123
"Cephalophus leucogaster" 2 64 341 -5.05725763374335 4.25328461412649e-07 0.129032258064516
"Cephalophus leucogaster" 2 66 320 -4.72956726710786 2.24998898274728e-06 0.140625
"Cephalophus leucogaster" 2 68 296 -4.49408031548065 6.98712557023461e-06 0.148648648648649
